style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
basemap-col,step-00-baseline,0,loadMs,335.5000,317.0500,361.8000,303.7500,396.3250,54,
basemap-col,step-00-baseline,0,fps,568.1769,526.4667,598.4572,407.0775,751.3847,54,
basemap-col,step-01-simplify_unary,1,loadMs,333.6000,311.2500,360.7000,305.8000,384.0250,54,0.951939
basemap-col,step-01-simplify_unary,1,fps,568.3183,512.0112,632.5910,432.0862,804.4933,54,0.315817
basemap-col,step-03-constant_fold,3,loadMs,338.0000,312.8500,354.2000,303.2750,384.2750,54,0.295496
basemap-col,step-03-constant_fold,3,fps,556.4325,513.3616,592.9001,431.2741,775.8091,54,0.614474
basemap-col,step-05-simplify_expressions,5,loadMs,312.4500,304.5000,356.6000,298.8500,386.2750,54,0.111183
basemap-col,step-05-simplify_expressions,5,fps,554.6771,536.4421,640.3609,465.8221,730.3844,54,0.345774
basemap-col,step-06-strip_defaults,6,loadMs,306.2500,291.8500,324.9500,288.0000,351.7000,54,0.000671
basemap-col,step-06-strip_defaults,6,fps,601.5951,575.2224,681.4227,488.7274,833.1443,54,0.008106
basemap-col,step-07-minify_colors,7,loadMs,321.7000,301.5000,333.8000,287.0000,346.5500,54,0.009863
basemap-col,step-07-minify_colors,7,fps,595.8727,579.4647,655.9495,507.1094,755.8965,54,0.029059
basemap-col,step-08-strip_metadata,8,loadMs,306.7500,301.0000,328.8500,296.2250,354.5750,54,0.003057
basemap-col,step-08-strip_metadata,8,fps,595.6612,572.7054,641.3515,497.7726,785.7606,54,0.102756
basemap-col,step-12-metadata_refinement_paint,12,loadMs,313.3500,297.0000,328.2000,287.0250,338.3500,54,0.002271
basemap-col,step-12-metadata_refinement_paint,12,fps,599.1906,573.7651,710.5055,474.2393,840.7702,54,0.058766
basemap-col,step-14-cleanup,14,loadMs,307.9000,298.2000,316.9000,287.2000,343.4000,54,0.001966
basemap-col,step-14-cleanup,14,fps,630.4211,604.4311,703.9078,518.9533,858.5745,54,0.001340
basemap-col,step-15-layer_merge,15,loadMs,316.4000,293.8000,328.9500,284.7750,345.6500,54,0.020084
basemap-col,step-15-layer_merge,15,fps,639.0672,556.7721,682.9311,509.0279,792.5940,54,0.009916
basemap-top,step-00-baseline,0,loadMs,494.5000,430.2000,510.1500,412.5750,562.9250,54,
basemap-top,step-00-baseline,0,fps,375.9499,341.4855,396.8330,271.8244,493.7972,54,
basemap-top,step-01-simplify_unary,1,loadMs,487.8000,434.8500,504.4000,404.7500,546.9250,54,0.453801
basemap-top,step-01-simplify_unary,1,fps,379.7722,355.0171,401.5755,286.0284,483.2395,54,0.584551
basemap-top,step-03-constant_fold,3,loadMs,482.9000,418.1000,511.4000,405.9000,526.2000,53,0.594217
basemap-top,step-03-constant_fold,3,fps,367.5747,339.1227,399.5218,271.1628,480.8808,53,0.982601
basemap-top,step-05-simplify_expressions,5,loadMs,475.6000,423.4000,498.6000,403.1750,530.9250,54,0.172341
basemap-top,step-05-simplify_expressions,5,fps,377.1373,356.7835,395.9320,272.9689,471.7486,54,0.720849
basemap-top,step-06-strip_defaults,6,loadMs,466.1000,427.9500,487.1500,410.9250,519.0500,54,0.019404
