step,pass,deltaRaw,deltaGzip,deltaBrotli,deltaLoad,deltaLayers,dagger
1,Unary simplification,0.0,0.2,0.0,-0.4,0,0
2,Kind normalisation,0.0,0.0,0.0,0.0,0,0
3,Constant folding,-1.8,-1.2,-0.9,0.0,0,0
4,Stats-driven folding,0.0,0.0,0.0,0.0,0,0
5,Expression simplification,-1.6,-0.7,-0.7,0.4,0,0
6,Default stripping,-5.5,-3.6,-3.4,-1.0,0,0
7,Colour minification,-1.5,-1.7,-1.2,-0.4,0,0
8,Metadata stripping,0.0,0.0,0.0,0.0,0,0
9,Dead elimination,0.0,0.0,0.0,0.0,0,0
10,Dead elimination (stats),0.0,0.0,0.0,0.0,0,0
11,Metadata refinement,0.0,0.0,0.0,0.0,0,0
12,Paint-based refinement,0.0,0.0,0.0,0.0,0,0
13,Stats-driven refinement,0.0,0.0,0.0,0.0,0,0
14,Cleanup,0.0,0.0,0.0,0.0,0,0
15,Layer merging,0.0,0.4,0.6,0.3,-1,0
16,Selectivity reordering,0.0,-0.1,-0.3,-1.3,0,1
17,Tile shave only,14.8,9.7,9.0,-74.9,3,1
18,Tile shave,-15.1,-9.8,-9.1,-0.9,-3,1
19,Tile rewriting,-2.6,-2.3,-2.6,0.1,0,1
