step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,48694,4230,3710,484.6,612.5,119
1,Unary simpl.,48686,4244,3673,492.8,617.3,119
2,Expr. kind,48686,4244,3673,492.8,617.3,119
3,Const. fold,48686,4244,3673,492.8,617.3,119
4,CF stats,48686,4244,3673,492.8,617.3,119
5,Simplify expr.,46038,4162,3599,549.9,602.6,119
6,Strip defaults,45488,4109,3553,573.3,619.2,119
7,Minify colours,45261,4040,3528,520.0,610.2,119
8,Strip metadata,45261,4040,3528,520.0,610.2,119
9,Dead elim.,45261,4040,3528,520.0,610.2,119
10,DE stats,45261,4040,3528,520.0,610.2,119
11,Meta. refine.,45261,4040,3528,520.0,610.2,119
12,MR paint,45261,4040,3528,520.0,610.2,119
13,MR stats,45261,4040,3528,520.0,610.2,119
14,Cleanup,45261,4040,3528,520.0,610.2,119
15,Layer merge,45462,4086,3563,543.1,611.8,118
