step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,20669,2592,2234,394.0,926.9,47
1,Unary simpl.,21629,2653,2304,387.8,946.9,47
2,Expr. kind,21629,2653,2304,387.8,946.9,47
3,Const. fold,20502,2616,2257,387.8,934.4,47
4,CF stats,20502,2616,2257,387.8,934.4,47
5,Simplify expr.,20394,2595,2239,374.2,941.0,47
6,Strip defaults,18968,2512,2176,386.8,945.7,47
7,Minify colours,18678,2471,2148,383.9,959.6,47
8,Strip metadata,18678,2471,2148,383.9,959.6,47
9,Dead elim.,18678,2471,2148,383.9,959.6,47
10,DE stats,18678,2471,2148,383.9,959.6,47
11,Meta. refine.,18678,2471,2148,383.9,959.6,47
12,MR paint,18678,2471,2148,383.9,959.6,47
13,MR stats,18678,2471,2148,383.9,959.6,47
14,Cleanup,18678,2471,2148,383.9,959.6,47
