step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,22215,2550,2199,374.8,889.6,48
1,Unary simpl.,22215,2559,2199,375.3,897.2,48
2,Expr. kind,22215,2559,2199,375.3,897.2,48
3,Const. fold,22215,2559,2199,375.3,897.2,48
4,CF stats,21879,2561,2203,379.0,899.2,48
5,Simplify expr.,18719,2443,2106,369.1,903.9,48
6,Strip defaults,18151,2396,2066,368.5,906.9,48
7,Minify colours,17707,2339,2054,370.0,897.5,48
8,Strip metadata,17707,2339,2054,370.0,897.5,48
9,Dead elim.,17426,2253,1967,368.0,939.2,47
10,DE stats,17426,2253,1967,368.0,939.2,47
11,Meta. refine.,17426,2253,1967,368.0,939.2,47
12,MR paint,17391,2251,1968,370.2,942.0,47
13,MR stats,18030,2262,1978,373.0,976.6,47
14,Cleanup,17396,2192,1921,366.7,1020.3,46
15,Layer merge,17381,2190,1918,368.0,1002.1,46
16,Selectivity reorder,17381,2179,1901,360.5,993.8,46
17,Tile shave only,22218,2551,2196,113.3,2429.9,48
18,Tile shave,17266,2175,1897,107.7,2490.1,46
19,Tile rewrite,16860,2118,1841,108.7,2330.0,46
