step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,121218,10298,8791,576.4,585.4,233
1,Unary simpl.,121202,10212,8639,562.6,569.8,233
2,Expr. kind,121202,10212,8639,562.6,569.8,233
3,Const. fold,119688,10104,8554,596.6,566.8,233
4,CF stats,119688,10104,8554,596.6,566.8,233
5,Simplify expr.,117524,10049,8501,597.8,585.7,233
6,Strip defaults,110339,9698,8222,588.7,559.5,233
7,Minify colours,107291,9550,8167,586.5,579.7,233
8,Strip metadata,99202,9228,7917,577.8,586.0,233
9,Dead elim.,98275,9079,7748,645.5,574.7,230
10,DE stats,98275,9079,7748,645.5,574.7,230
11,Meta. refine.,98275,9079,7748,645.5,574.7,230
12,MR paint,98426,9112,7774,634.1,564.1,230
13,MR stats,98426,9112,7774,634.1,564.1,230
14,Cleanup,55528,5482,4783,578.4,634.5,142
