step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,182263,14352,12134,1215.7,291.1,263
1,Unary simpl.,182123,14171,11996,1200.7,297.2,263
2,Expr. kind,182123,14171,11996,1200.7,297.2,263
3,Const. fold,180550,14191,11993,1202.7,275.6,263
4,CF stats,180550,14191,11993,1202.7,275.6,263
5,Simplify expr.,177999,14209,12029,1194.4,257.7,263
6,Strip defaults,158631,13663,11583,1179.8,279.3,263
7,Minify colours,154707,13487,11523,1175.6,282.8,263
8,Strip metadata,143278,12320,10507,1187.0,301.1,263
9,Dead elim.,142190,12095,10295,1176.5,315.2,263
10,DE stats,142190,12095,10295,1176.5,315.2,263
11,Meta. refine.,142190,12095,10295,1176.5,315.2,263
12,MR paint,142285,12117,10306,1197.6,311.6,263
13,MR stats,142285,12117,10306,1197.6,311.6,263
14,Cleanup,141544,12041,10248,1197.5,310.2,262
