step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,16165,2375,2072,359.5,1060.2,48
1,Unary simpl.,17226,2424,2127,363.8,1070.6,48
2,Expr. kind,17226,2424,2127,363.8,1070.6,48
3,Const. fold,16044,2383,2084,351.5,1026.6,48
4,CF stats,16044,2383,2084,351.5,1026.6,48
5,Simplify expr.,15944,2387,2078,361.7,1023.9,48
6,Strip defaults,14600,2286,1994,356.2,1040.1,48
7,Minify colours,14198,2216,1965,351.3,1014.1,48
8,Strip metadata,14198,2216,1965,351.3,1014.1,48
9,Dead elim.,14198,2216,1965,351.3,1014.1,48
10,DE stats,14198,2216,1965,351.3,1014.1,48
11,Meta. refine.,14198,2216,1965,351.3,1014.1,48
12,MR paint,14198,2216,1965,351.3,1014.1,48
13,MR stats,14198,2216,1965,351.3,1014.1,48
14,Cleanup,14198,2216,1965,351.3,1014.1,48
