step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,43060,3878,3406,493.0,646.1,111
1,Unary simpl.,43052,3881,3356,491.5,648.5,111
2,Expr. kind,43052,3881,3356,491.5,648.5,111
3,Const. fold,43052,3881,3356,491.5,648.5,111
4,CF stats,42002,3854,3332,488.6,645.6,111
5,Simplify expr.,40519,3793,3290,551.0,622.7,111
6,Strip defaults,40289,3752,3254,547.5,628.2,111
7,Minify colours,40056,3651,3199,546.0,629.1,111
8,Strip metadata,40056,3651,3199,546.0,629.1,111
9,Dead elim.,40056,3651,3199,546.0,629.1,111
10,DE stats,40056,3651,3199,546.0,629.1,111
11,Meta. refine.,40056,3651,3199,546.0,629.1,111
12,MR paint,40056,3651,3199,546.0,629.1,111
13,MR stats,40056,3651,3199,546.0,629.1,111
14,Cleanup,40056,3651,3199,546.0,629.1,111
15,Layer merge,39684,3687,3234,542.1,649.5,107
16,Selectivity reorder,39684,3693,3243,539.0,647.7,107
17,Tile shave only,43063,3878,3399,125.3,2206.1,111
18,Tile shave,39687,3693,3245,123.5,2225.7,107
19,Tile rewrite,38265,3600,3157,123.5,2022.1,107
