step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,51172,4594,4034,525.4,639.0,128
1,Unary simpl.,54711,4715,4102,554.1,616.2,128
2,Expr. kind,54711,4715,4102,554.1,616.2,128
3,Const. fold,53489,4652,4031,576.1,619.0,128
4,CF stats,53489,4652,4031,576.1,619.0,128
5,Simplify expr.,53149,4650,4041,576.8,627.3,128
6,Strip defaults,50544,4475,3884,603.9,644.4,128
7,Minify colours,50247,4395,3837,574.0,625.2,128
8,Strip metadata,50247,4395,3837,574.0,625.2,128
9,Dead elim.,50247,4395,3837,574.0,625.2,128
10,DE stats,50247,4395,3837,574.0,625.2,128
11,Meta. refine.,50247,4395,3837,574.0,625.2,128
12,MR paint,50247,4395,3837,574.0,625.2,128
13,MR stats,50247,4395,3837,574.0,625.2,128
14,Cleanup,50247,4395,3837,574.0,625.2,128
