step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,32777,3653,3169,483.5,561.7,105
1,Unary simpl.,35023,3685,3187,469.9,561.1,105
2,Expr. kind,35023,3685,3187,469.9,561.1,105
3,Const. fold,34640,3658,3155,519.2,550.0,105
4,CF stats,34640,3658,3155,519.2,550.0,105
5,Simplify expr.,34490,3653,3152,522.1,525.6,105
6,Strip defaults,34280,3597,3102,530.1,541.1,105
7,Minify colours,34026,3493,3049,512.2,540.2,105
8,Strip metadata,34026,3493,3049,512.2,540.2,105
9,Dead elim.,34026,3493,3049,512.2,540.2,105
10,DE stats,34026,3493,3049,512.2,540.2,105
11,Meta. refine.,34026,3493,3049,512.2,540.2,105
12,MR paint,34026,3493,3049,512.2,540.2,105
13,MR stats,34026,3493,3049,512.2,540.2,105
14,Cleanup,34026,3493,3049,512.2,540.2,105
