step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,25134,2731,2380,419.4,827.0,55
1,Unary simpl.,25126,2732,2359,429.1,814.5,55
2,Expr. kind,25126,2732,2359,429.1,814.5,55
3,Const. fold,25126,2732,2359,429.1,814.5,55
4,CF stats,25126,2732,2359,429.1,814.5,55
5,Simplify expr.,22182,2630,2270,438.0,820.0,55
6,Strip defaults,21657,2576,2209,432.7,820.5,55
7,Minify colours,21384,2520,2175,437.3,806.8,55
8,Strip metadata,21384,2520,2175,437.3,806.8,55
9,Dead elim.,21384,2520,2175,437.3,806.8,55
10,DE stats,21384,2520,2175,437.3,806.8,55
11,Meta. refine.,21384,2520,2175,437.3,806.8,55
12,MR paint,21384,2520,2175,437.3,806.8,55
13,MR stats,21384,2520,2175,437.3,806.8,55
14,Cleanup,21384,2520,2175,437.3,806.8,55
15,Layer merge,21384,2520,2175,437.3,806.8,55
