step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,47554,4543,4004,513.2,586.5,110
1,Unary simpl.,47546,4443,3870,516.0,583.9,110
2,Expr. kind,47546,4443,3870,516.0,583.9,110
3,Const. fold,46461,4380,3829,579.9,599.5,110
4,CF stats,46461,4380,3829,579.9,599.5,110
5,Simplify expr.,46032,4385,3822,590.1,594.3,110
6,Strip defaults,43970,4201,3668,550.6,603.1,110
7,Minify colours,43667,4121,3620,592.6,608.1,110
8,Strip metadata,43596,4082,3590,570.6,615.8,110
9,Dead elim.,43353,4034,3542,577.7,637.9,109
10,DE stats,43353,4034,3542,577.7,637.9,109
11,Meta. refine.,43353,4034,3542,577.7,637.9,109
12,MR paint,43658,4074,3571,587.9,600.9,109
13,MR stats,43658,4074,3571,587.9,600.9,109
14,Cleanup,43594,4053,3557,598.7,606.9,109
15,Layer merge,43600,4097,3590,563.3,627.9,108
