step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,15179,2395,2054,383.9,1223.2,37
1,Unary simpl.,15772,2442,2097,361.9,1230.7,37
2,Expr. kind,15772,2442,2097,361.9,1230.7,37
3,Const. fold,15336,2408,2077,354.4,1201.7,37
4,CF stats,15336,2408,2077,354.4,1201.7,37
5,Simplify expr.,15308,2406,2078,358.6,1215.7,37
6,Strip defaults,13641,2222,1923,363.2,1229.9,37
7,Minify colours,12957,2183,1889,350.5,1267.2,37
8,Strip metadata,12957,2183,1889,350.5,1267.2,37
9,Dead elim.,12957,2183,1889,350.5,1267.2,37
10,DE stats,12957,2183,1889,350.5,1267.2,37
11,Meta. refine.,12957,2183,1889,350.5,1267.2,37
12,MR paint,12957,2183,1889,350.5,1267.2,37
13,MR stats,12957,2183,1889,350.5,1267.2,37
14,Cleanup,12957,2183,1889,350.5,1267.2,37
