zoom,tiles,mvtBytes,mltJavaBytes,mltRustBytes,mltShavedBytes,deltaPct,isTotal
0,1,8280,18198,8413,6855,-17.2,0
1,1,5475,9151,5436,3934,-28.1,0
2,1,12771,18154,11691,6819,-46.6,0
3,1,15371,19482,13382,7003,-54.4,0
4,1,39235,54204,37134,30499,-22.3,0
5,4,160983,157841,141313,94654,-41.2,0
6,6,432021,480570,381648,268381,-37.9,0
7,20,1882248,2673332,1732678,1351831,-28.2,0
8,70,6332618,9172932,5779299,4264935,-32.7,0
9,255,22069033,29889831,19548296,14014797,-36.5,0
10,894,42357413,55483947,36777888,27826521,-34.3,0
11,3278,90112154,116703996,78236272,56579279,-37.2,0
12,12508,223558073,284477566,199797908,149145490,-33.3,0
13,48453,573369020,756995961,523420056,425797593,-25.7,0
14,191095,2115531516,2288028971,1828902088,1512331221,-28.5,0
Total,256588,3075886211,3544184136,2694793502,2191729812,-28.7,1
